,age,weight,bodyActivity,clothLayer,time,nigaThermal,summTemp,wintTemp,thermalComf,tempNow,nigaNoise,outNoise,backgNoise,noiseGenarally,noiseNow,people_Noise,AcousComfort,building_image,nigaAir,ac_control,vent,odorUsually,sleepy,odor,airSpeedNow,nigaLightQua,daylight,BlindOFF,lightControl,luminaireOFF,colorComf,visualComf,lightLevelFeel
70,2,6,4,5,4,0,2,2,1,2,0,0,0,3,2,1,3,5,0,0,3,0,0,0,2,1,1,1,1,0,2,2,3
71,1,1,3,5,2,1,2,2,1,3,0,0,1,4,2,1,2,2,0,0,3,0,1,1,2,0,1,1,1,1,4,4,3
72,1,2,1,2,4,1,3,3,0,3,0,0,0,5,1,1,1,1,0,0,3,0,0,0,2,0,1,0,0,0,5,5,5
73,2,5,1,5,2,1,1,3,0,4,0,1,1,4,3,1,3,4,1,0,2,1,1,0,1,0,1,1,0,1,4,3,3
74,1,1,2,5,2,1,3,3,0,2,1,0,0,3,3,1,3,1,1,0,1,0,1,0,2,0,1,1,1,1,1,2,3
75,1,2,4,5,3,0,4,3,0,3,0,0,0,2,2,1,2,2,0,1,4,0,1,0,1,0,0,0,1,0,5,5,3
76,1,1,4,5,4,1,3,2,1,4,0,0,0,4,4,1,3,3,1,0,4,0,0,0,1,1,1,1,1,0,4,5,2
77,1,5,6,5,3,1,1,3,0,2,0,0,0,3,3,1,2,1,1,0,1,0,0,0,1,0,0,1,1,0,5,5,3
78,2,5,1,1,3,0,3,4,1,3,0,0,0,5,2,1,3,5,0,0,4,1,0,0,2,0,1,0,0,0,5,5,4
79,1,6,5,5,3,1,3,2,1,4,0,0,0,3,1,1,1,4,0,1,3,0,0,0,2,0,0,0,0,1,3,3,3
80,1,1,2,1,3,1,4,4,1,3,0,0,0,3,2,1,4,1,0,0,4,0,0,0,2,0,1,0,1,0,4,4,5
81,1,2,1,5,4,1,2,2,0,4,1,0,0,2,2,1,3,2,1,0,4,0,0,1,1,0,0,1,1,0,3,4,3
82,1,3,2,5,4,1,3,3,0,3,0,1,0,4,2,1,4,2,0,0,3,0,0,0,2,0,1,1,1,0,2,3,3
83,1,2,2,5,5,0,3,4,0,4,0,1,0,5,2,0,1,5,0,0,3,0,1,0,1,0,1,0,0,0,1,1,4
84,1,3,6,1,4,1,1,3,0,4,1,0,0,4,2,1,3,3,1,0,5,0,0,0,2,0,1,0,1,0,3,3,5
85,1,1,3,5,4,1,3,2,0,3,0,0,0,3,3,0,4,4,0,1,1,0,1,0,1,0,1,0,0,0,5,4,3
86,1,1,6,2,5,1,2,2,0,3,0,0,1,3,4,0,2,3,1,0,3,0,0,1,2,0,1,0,0,1,3,3,3
