,lightLevel,lightColor,peaople_sound,o2,co2,lpg,alcohol,methane,co,h2,nitric,ch2o,voc,Temp,Humad,Rtemp,air_speed
68,466.74,6980,25.7,20.53,701.1851,3.8715,0.0038,0.8093,5.6487,51.6878,0.3467,0.4822,3.6894,23.5725,52.85,21,126
69,471.53,7012,23.95,20.5,709.9093,3.8244,0.0039,0.7679,5.5376,51.7569,0.3467,0.4822,3.6894,23.7562,52.85,22,125
70,471.83,6999,26.05,20.44,737.8653,3.7084,0.0038,0.7437,5.4935,52.0333,0.3241,0.4283,4.335,23.4329,52.75,21,135
71,470.905,7015,26.1,20.44,717.2827,3.5948,0.0039,0.72,5.4935,51.8951,0.3391,0.4028,4.0099,23.8572,52.75,23,126
72,469.41,7088,24.9,20.42,708.0808,3.5168,0.0038,0.6815,5.4715,51.9642,0.3097,0.4822,4.335,24.1873,52.85,22,137
73,440.485,7120,24.3,20.46,697.6661,3.5389,0.0038,0.6702,5.5155,52.1714,0.3097,0.4283,4.0099,24.01,52.75,21,125
74,442.635,7138,24.2,20.42,709.8361,3.606,0.0038,0.6591,5.4715,52.1023,0.3315,0.4822,4.0099,24.6906,52.75,24,135
75,472.2,7181,39.45,20.4,708.5744,3.674,0.0037,0.6299,5.5376,51.9642,0.2569,0.4283,4.0099,24.1297,52.75,21,127
76,467.54,7179,32.55,20.42,671.8775,3.6399,0.0038,0.6156,5.5155,52.0333,0.289,0.3784,4.0099,24.2586,52.75,23,132
77,442.7,7167,29.0,20.51,707.1026,3.6399,0.0037,0.5876,5.5155,52.1023,0.3097,0.4547,4.0099,23.6457,52.75,20,139
78,467.915,7177,60.5,20.45,694.0443,3.6854,0.0037,0.5705,5.4935,52.0333,0.3956,0.4547,4.0099,24.3337,52.75,21,134
79,467.68,7175,53.8,20.52,704.0577,3.6626,0.0037,0.5638,5.4276,51.7569,0.2823,0.4547,4.0099,23.7468,52.75,23,136
80,467.76,7179,44.8,20.46,671.6779,3.6399,0.0036,0.5504,5.4276,51.7569,0.3027,0.4283,4.0099,23.6341,52.75,22,133
81,468.31,7185,38.0,20.44,701.8762,3.6854,0.0036,0.5705,5.4495,51.5495,0.239,0.4822,4.335,23.1254,52.65,22,131
82,468.6,7198,33.75,20.46,718.4285,3.6286,0.0036,0.5405,5.4057,51.1345,0.2694,0.4028,3.0629,24.3458,52.65,22,129
83,468.61,7199,25.0,20.53,756.1892,3.5948,0.0036,0.5147,5.3402,51.3421,0.2958,0.4028,3.3736,23.8443,52.65,22,134
84,468.67,7199,26.65,20.48,727.2995,3.5724,0.0036,0.499,5.2751,51.4112,0.2276,0.4028,4.0099,24.9818,52.65,21,140
85,468.755,7179,26.6,20.54,728.4896,3.4837,0.0036,0.499,5.2535,51.7569,0.289,0.3784,3.3736,22.9666,52.65,20,128
86,467.01,7187,23.55,20.49,717.6399,3.4947,0.0036,0.4805,5.1246,51.8951,0.2276,0.4028,3.6894,23.8211,52.65,21,126
87,467.025,7207,24.9,20.49,719.7089,3.4399,0.0035,0.5021,5.1246,51.7569,0.3241,0.4028,3.6894,23.5966,52.65,23,135
88,466.775,7177,24.35,20.53,688.729,3.4508,0.0036,0.4897,5.1459,51.4112,0.2823,0.4283,4.335,24.2362,52.55,21,140
89,466.85,7177,25.0,20.49,735.2319,3.3857,0.0035,0.4506,5.1888,51.5495,0.2449,0.3784,4.0099,23.6128,52.55,23,129
90,466.51,7185,27.85,20.5,734.0499,3.429,0.0035,0.4565,5.2103,51.6878,0.289,0.3784,3.6894,24.4356,52.55,21,139
91,466.805,7194,39.7,20.44,736.584,3.4617,0.0036,0.439,5.2103,51.4804,0.289,0.4028,3.6894,23.7712,52.55,22,128
92,466.78,7177,30.45,20.45,717.0849,3.4727,0.0036,0.4361,5.2103,51.7569,0.2958,0.3784,3.6894,22.9646,52.55,24,136
93,466.865,7177,66.95,20.44,756.7359,3.4181,0.0035,0.4163,5.1246,51.5495,0.2958,0.4028,4.0099,24.0375,52.55,21,137
94,467.045,7177,54.1,20.46,732.3159,3.429,0.0035,0.4107,5.1459,51.0653,0.2221,0.3784,3.6894,24.3017,52.55,21,131
95,468.685,7211,43.0,20.56,755.2259,3.4073,0.0034,0.4247,5.2103,50.7884,0.2221,0.3549,3.3736,23.783,52.55,23,131
96,468.58,7194,75.3,20.55,734.0768,3.429,0.0034,0.4332,5.2968,50.234,0.2958,0.3549,3.3736,24.1573,52.55,22,128
97,468.56,7177,31.15,20.53,723.8072,3.4399,0.0034,0.4624,5.2751,49.9565,0.2569,0.3549,3.0629,23.9234,52.55,22,138
98,1.95,3876,24.7,20.57,728.4431,3.3749,0.0034,0.4052,5.2751,49.9565,0.2276,0.3325,3.3736,24.2527,52.45,23,137
99,3.165,5406,24.45,20.45,757.8545,3.4181,0.0033,0.4024,5.0819,50.5113,0.2449,0.3549,3.6894,24.5727,52.45,24,132
100,2.77,5376,23.9,20.43,736.8964,3.2897,0.0034,0.4079,5.0606,51.1345,0.2508,0.3784,3.6894,25.4436,52.45,23,137
101,1.59,5374,25.2,20.4,762.1672,3.3002,0.0034,0.4024,5.0182,51.4112,0.3168,0.4028,4.0099,24.4978,52.45,22,127
102,1.765,5286,24.65,20.46,737.3155,3.2476,0.0033,0.3836,4.8919,51.2729,0.2449,0.3784,4.0099,24.6833,52.45,23,132
103,4.01,5280,23.6,20.37,715.6482,3.2163,0.0034,0.4191,4.9128,51.3421,0.3241,0.3784,3.6894,24.9793,52.45,25,125
104,5.245,5285,25.2,20.49,756.6497,3.2581,0.0034,0.4135,4.9759,51.2729,0.2449,0.4283,4.0099,24.6907,52.35,22,137
105,4.345,5246,26.0,20.49,741.8153,3.2686,0.0034,0.3757,4.9759,51.2037,0.2276,0.3549,2.7575,24.553,52.35,24,127
106,7.76,5237,28.6,20.48,722.5472,3.3965,0.0033,0.4361,5.1032,51.4804,0.2276,0.3784,4.0099,24.1507,52.35,24,132
