,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
ageTransformed[1],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[2],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[3],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[4],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[5],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[6],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[7],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[8],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[9],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[10],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[11],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[12],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[13],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[14],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[15],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[16],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[17],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[18],0.0900931,0.00329497,0.0435161,0.0310121,0.0832629,0.173083,174.42,11.6025,1.04718
ageTransformed[19],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[20],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[21],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[22],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[23],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[24],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[25],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[26],0.265251,0.00397833,0.0668301,0.157394,0.262523,0.376633,282.191,18.7714,1.03336
ageTransformed[27],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
ageTransformed[28],0.0900931,0.00329497,0.0435161,0.0310121,0.0832629,0.173083,174.42,11.6025,1.04718
ageTransformed[29],0.0900931,0.00329497,0.0435161,0.0310121,0.0832629,0.173083,174.42,11.6025,1.04718
ageTransformed[30],0.644656,0.00392885,0.0712819,0.525581,0.646601,0.759825,329.176,21.8969,1.01267
