,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
acou_isolation[50],12.8424,4.25814,6.04226,6.71958,10.4495,23.4213,2.01354,0.0257588,18.6296
acou_isolation[51],-0.649435,0.513959,0.859498,-2.16348,-0.495828,0.979911,2.79661,0.0357765,2.4476
acou_isolation[52],12.6258,3.48346,4.93772,6.8164,13.8485,20.1023,2.00924,0.0257038,32.2032
acou_isolation[53],11.566,3.53381,5.01754,7.14199,10.1309,20.453,2.01602,0.0257905,19.034
acou_isolation[54],13.1694,3.17244,4.51774,9.13951,11.1082,21.1404,2.02794,0.0259431,11.4271
acou_isolation[55],14.5545,3.88173,5.53696,8.9468,13.3675,24.0681,2.03467,0.0260291,10.563
acou_isolation[56],12.1353,3.19136,4.53537,8.78081,9.73976,20.1917,2.01964,0.0258368,15.209
acou_isolation[57],-0.404388,0.738789,1.14253,-2.42392,-0.433611,1.41191,2.39164,0.0305958,4.17006
acou_isolation[58],12.9865,3.30192,4.69015,8.52528,11.9982,20.8112,2.01763,0.0258111,16.6899
acou_isolation[59],0.435999,0.665878,0.965762,-0.909279,0.859513,1.79492,2.10354,0.0269101,5.87678
acou_isolation[60],12.9763,3.61631,5.13717,8.76424,10.561,22.0083,2.01798,0.0258156,14.0528
acou_isolation[61],11.9935,2.53117,3.60118,8.02565,10.8238,18.1723,2.02418,0.0258949,12.5755
acou_isolation[62],13.6642,3.19716,4.57163,8.38296,13.511,21.1862,2.04462,0.0261564,14.6147
acou_isolation[63],12.9849,3.17207,4.54335,7.45534,13.3306,21.0192,2.05148,0.0262441,9.79607
acou_isolation[64],12.536,2.81989,4.00584,8.92177,10.8297,19.7339,2.01802,0.0258161,16.2773
acou_isolation[65],11.2727,3.70188,5.25175,5.38468,9.75012,20.0245,2.01262,0.0257471,21.2324
acou_isolation[66],12.2572,3.62198,5.15052,6.32338,11.2826,21.1889,2.02213,0.0258687,20.2097
acou_isolation[67],13.6839,3.97509,5.65452,8.19695,12.2106,23.3452,2.02348,0.0258859,11.4932
acou_isolation[68],-1.48834,0.722138,1.07279,-3.14539,-1.12008,-0.258477,2.20693,0.0282328,4.19085
acou_isolation[69],12.6256,3.67244,5.21122,7.03093,11.3069,21.3622,2.01358,0.0257593,19.4723
acou_isolation[70],-0.0970315,0.358643,0.586351,-0.979264,-0.194176,1.11807,2.67294,0.0341944,2.58366
acou_isolation[71],11.6034,3.73417,5.35556,5.10392,12.4132,20.9671,2.05694,0.026314,10.885
acou_isolation[72],12.0437,5.04808,7.1541,3.62736,12.4965,23.2498,2.00843,0.0256935,33.0192
acou_isolation[73],12.7281,4.21587,6.01564,4.94423,12.9977,22.4583,2.03605,0.0260468,9.19828
acou_isolation[74],12.3839,3.48091,4.94577,8.04134,10.2919,21.1282,2.01875,0.0258255,14.1721
acou_isolation[75],12.6374,3.70987,5.26442,6.32293,11.922,21.3353,2.01365,0.0257602,18.8618
acou_isolation[76],13.7208,3.15012,4.47432,8.36584,13.1841,20.9775,2.01744,0.0258087,15.2739
acou_isolation[77],13.4204,3.37055,4.80423,8.05061,11.3663,21.7725,2.03164,0.0259903,12.2908
acou_isolation[78],13.174,3.04233,4.32883,8.49056,13.5992,20.2076,2.02455,0.0258996,10.947
acou_isolation[79],12.034,3.66363,5.19953,5.75509,13.228,20.1015,2.01422,0.0257674,17.8812
acou_isolation[80],13.6878,3.50684,4.97692,9.21651,13.2881,22.3734,2.01414,0.0257665,18.547
acou_isolation[81],12.844,3.65243,5.18008,8.51842,10.9446,21.8588,2.01145,0.025732,21.7007
acou_isolation[82],12.7945,3.86149,5.47807,7.72923,11.4895,22.11,2.01255,0.0257461,19.6995
acou_isolation[83],12.6846,4.26132,6.05885,5.9865,12.2331,22.9042,2.02158,0.0258617,17.285
acou_isolation[84],13.1089,3.44252,4.90749,8.8584,10.7519,21.6849,2.0322,0.0259975,9.48029
acou_isolation[85],11.8672,3.89904,5.53321,7.37905,9.10462,21.6533,2.01391,0.0257636,20.8015
acou_isolation[86],-0.243961,0.869944,1.27272,-2.2287,-0.374468,1.8387,2.14036,0.0273811,4.60791
acou_isolation[87],13.0202,3.69245,5.24754,8.26235,10.9542,22.3468,2.01968,0.0258374,17.2333
acou_isolation[88],12.7137,4.08036,5.7874,7.29023,10.2806,22.7342,2.01173,0.0257357,24.0544
acou_isolation[89],12.4484,3.72967,5.30865,6.84592,11.0521,21.4312,2.02594,0.0259175,11.8483
acou_isolation[90],13.3396,3.52766,5.02746,8.24546,13.0984,21.4512,2.03106,0.0259829,11.4764
